STATE OF ARIZONA REGISTRATION REPORT,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"2024 General Election - November 05, 2024",,,,,,,,,,,,,,,,,,
Compiled and Issued by the Arizona Secretary of State,,,,,,,,,,,,,,,,,,
Active,,,,,,,,,,,,,,,,,,
County,Precincts,,Date/Period,,,Democratic,,,Green,Libertarian,No Labels,,Republican,,Other,,Total,
,"1,719",,G.E. 2024,,,"1,266,536",,,"4,187","31,132","32,338",,"1,562,091",,"1,471,309",,"4,367,593",
,,,,,,,,,,,,,,,,,,
Percentages:,,,Apr-24,,,29.38,,,0.07,0.77,0.68,,35.36,,33.75,,,
,,,P.E. 2024,,,29.1,,,0.08,0.75,0.71,,35.41,,33.95,,,
,,,G.E. 2024,,,29,,,0.1,0.71,0.74,,35.77,,33.69,,,
,,,,,,,,,,,,,,,,,,
Active,,,,,,,,,,,,,,,,,,
District,,,,Precincts,Democratic,,,Green,,Libertarian,,No Labels,,Republican,,Other,,Total
,,,,,,,,,,,,,,,,,,
Congressional District 1,,,,,,,,,,,,,,,,,,
Maricopa,,,,206,"144,611",,,426,,"3,775",,"3,553",,"202,808",,"171,441",,"526,614"
Total:,,,,206,"144,611",,,426,,"3,775",,"3,553",,"202,808",,"171,441",,"526,614"
,,,,,,,,,,,,,,,,,,
Congressional District 2,,,,,,,,,,,,,,,,,,
Apache,,,,44,"27,343",,,30,,238,,228,,"11,856",,"14,365",,"54,060"
Coconino,,,,75,"35,384",,,197,,723,,706,,"23,909",,"29,762",,"90,681"
Gila,,,,39,"7,972",,,23,,203,,182,,"16,935",,"9,338",,"34,653"
Graham,,,,2,"1,275",,,0,,4,,12,,184,,657,,"2,132"
Maricopa,,,,3,587,,,2,,6,,15,,95,,666,,"1,371"
Mohave,,,,2,252,,,1,,5,,4,,106,,354,,722
Navajo,,,,21,"22,582",,,23,,383,,416,,"27,441",,"18,929",,"69,774"
Pinal,,,,50,"29,522",,,80,,820,,"1,018",,"42,653",,"42,141",,"116,234"
Yavapai,,,,57,"32,540",,,74,,"1,285",,"1,098",,"90,537",,"49,675",,"175,209"
Total:,,,,293,"157,457",,,430,,"3,667",,"3,679",,"213,716",,"165,887",,"544,836"
,,,,,,,,,,,,,,,,,,
Congressional District 3,,,,,,,,,,,,,,,,,,
Maricopa,,,,123,"146,054",,,388,,"2,108",,"3,223",,"51,416",,"131,743",,"334,932"
Total:,,,,123,"146,054",,,388,,"2,108",,"3,223",,"51,416",,"131,743",,"334,932"
,,,,,,,,,,,,,,,,,,
Congressional District 4,,,,,,,,,,,,,,,,,,
Maricopa,,,,146,"132,659",,,570,,"3,717",,"3,568",,"142,181",,"151,768",,"434,463"
Total:,,,,146,"132,659",,,570,,"3,717",,"3,568",,"142,181",,"151,768",,"434,463"
,,,,,,,,,,,,,,,,,,
Congressional District 5,,,,,,,,,,,,,,,,,,
Maricopa,,,,120,"97,417",,,321,,"3,270",,"2,990",,"184,929",,"142,801",,"431,728"
Pinal,,,,30,"20,824",,,83,,964,,882,,"48,956",,"37,994",,"109,703"
Total:,,,,150,"118,241",,,404,,"4,234",,"3,872",,"233,885",,"180,795",,"541,431"
,,,,,,,,,,,,,,,,,,
Congressional District 6,,,,,,,,,,,,,,,,,,
Cochise,,,,43,"11,975",,,57,,569,,489,,"29,389",,"21,955",,"64,434"
Graham,,,,21,"3,116",,,11,,123,,86,,"10,534",,"4,712",,"18,582"
Greenlee,,,,6,"1,294",,,3,,47,,32,,"1,862",,"1,482",,"4,720"
Pima,,,,155,"134,243",,,502,,"2,799",,"2,382",,"133,652",,"128,044",,"401,622"
Pinal,,,,25,"14,418",,,29,,304,,413,,"19,483",,"18,148",,"52,795"
Total:,,,,250,"165,046",,,602,,"3,842",,"3,402",,"194,920",,"174,341",,"542,153"
,,,,,,,,,,,,,,,,,,
Congressional District 7,,,,,,,,,,,,,,,,,,
Cochise,,,,12,"7,189",,,24,,93,,104,,"3,561",,"6,837",,"17,808"
Maricopa,,,,23,"21,157",,,50,,377,,704,,"12,365",,"22,437",,"57,090"
Pima,,,,123,"111,228",,,510,,"1,772",,"1,833",,"53,059",,"92,333",,"260,735"
Pinal,,,,4,869,,,1,,32,,38,,"1,506",,"1,461",,"3,907"
Santa Cruz,,,,24,"13,865",,,12,,148,,148,,"5,807",,"11,778",,"31,758"
Yuma,,,,27,"20,850",,,33,,286,,374,,"12,932",,"26,701",,"61,176"
Total:,,,,213,"175,158",,,630,,"2,708",,"3,201",,"89,230",,"161,547",,"432,474"
,,,,,,,,,,,,,,,,,,
Congressional District 8,,,,,,,,,,,,,,,,,,
Maricopa,,,,173,"119,529",,,386,,"3,436",,"3,376",,"200,407",,"156,350",,"483,484"
Total:,,,,173,"119,529",,,386,,"3,436",,"3,376",,"200,407",,"156,350",,"483,484"
,,,,,,,,,,,,,,,,,,
Congressional District 9,,,,,,,,,,,,,,,,,,
La Paz,,,,11,"2,086",,,11,,66,,138,,"5,719",,"4,355",,"12,375"
Maricopa,,,,112,"77,687",,,238,,"2,335",,"3,142",,"122,873",,"111,239",,"317,514"
Mohave,,,,22,"18,495",,,82,,905,,845,,"82,165",,"44,335",,"146,827"
Yuma,,,,20,"9,513",,,20,,339,,339,,"22,771",,"17,508",,"50,490"
Total:,,,,165,"107,781",,,351,,"3,645",,"4,464",,"233,528",,"177,437",,"527,206"
,,,,,,,,,,,,,,,,,,
Legislative District 1,,,,,,,,,,,,,,,,,,
Coconino,,,,1,715,,,1,,13,,11,,615,,645,,"2,000"
Yavapai,,,,54,"32,346",,,74,,"1,279",,"1,091",,"89,457",,"49,272",,"173,519"
Total:,,,,55,"33,061",,,75,,"1,292",,"1,102",,"90,072",,"49,917",,"175,519"
,,,,,,,,,,,,,,,,,,
Legislative District 2,,,,,,,,,,,,,,,,,,
Maricopa,,,,48,"36,779",,,145,,"1,243",,"1,100",,"48,211",,"46,830",,"134,308"
Total:,,,,48,"36,779",,,145,,"1,243",,"1,100",,"48,211",,"46,830",,"134,308"
,,,,,,,,,,,,,,,,,,
Legislative District 3,,,,,,,,,,,,,,,,,,
Maricopa,,,,58,"36,309",,,92,,"1,098",,927,,"89,073",,"55,897",,"183,396"
Total:,,,,58,"36,309",,,92,,"1,098",,927,,"89,073",,"55,897",,"183,396"
,,,,,,,,,,,,,,,,,,
Legislative District 4,,,,,,,,,,,,,,,,,,
Maricopa,,,,70,"47,037",,,121,,"1,229",,"1,212",,"69,442",,"55,941",,"174,982"
Total:,,,,70,"47,037",,,121,,"1,229",,"1,212",,"69,442",,"55,941",,"174,982"
,,,,,,,,,,,,,,,,,,
Legislative District 5,,,,,,,,,,,,,,,,,,
Maricopa,,,,54,"55,394",,,213,,"1,027",,"1,096",,"28,652",,"44,679",,"131,061"
Total:,,,,54,"55,394",,,213,,"1,027",,"1,096",,"28,652",,"44,679",,"131,061"
,,,,,,,,,,,,,,,,,,
Legislative District 6,,,,,,,,,,,,,,,,,,
