STATE OF ARIZONA REGISTRATION REPORT,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Page: 1,
"2020 General Election - November 03, 2020",,,,,,,,,,,,,,,,,,
Compiled and Issued by the Arizona Secretary of State,,,,,,,,,,,,,,,,,,
Active,,,,,,,,,,,,,,,,,,
County,Precincts,,Date/Period,,,Democratic,,,Libertarian,Republican,Other,,Total,,,,,
,,,,,,,,,,,,,,,,,,
Graham,,,,2,285,,,1,,44,,176,,506,,,,
Mohave,,,,2,15,,,0,,16,,31,,62,,,,
Navajo,,,,9,"2,699",,,65,,"2,093",,"2,901",,"7,758",,,,
Pinal,,,,1,0,,,0,,0,,0,,0,,,,
Total:,,,,87,"5,980",,,98,,"3,420",,"5,427",,"14,925",,,,
,,,,,,,,,,,,,,,,,,
Legislative District 8,,,,,,,,,,,,,,,,,,
Gila,,,,18,311,,,2,,276,,492,,"1,081",,,,
Pinal,,,,51,"1,641",,,45,,"1,674",,"3,183",,"6,543",,,,
Total:,,,,69,"1,952",,,47,,"1,950",,"3,675",,"7,624",,,,
,,,,,,,,,,,,,,,,,,
Legislative District 9,,,,,,,,,,,,,,,,,,
Pima,,,,57,"4,716",,,181,,"3,242",,"6,312",,"14,451",,,,
Total:,,,,57,"4,716",,,181,,"3,242",,"6,312",,"14,451",,,,
,,,,,,,,,,,,,,,,,,
Legislative District 10,,,,,,,,,,,,,,,,,,
Pima,,,,49,"4,280",,,129,,"3,050",,"5,818",,"13,277",,,,
Total:,,,,49,"4,280",,,129,,"3,050",,"5,818",,"13,277",,,,
,,,,,,,,,,,,,,,,,,
Legislative District 11,,,,,,,,,,,,,,,,,,
Pima,,,,34,"1,608",,,75,,"2,473",,"2,803",,"6,959",,,,
Pinal,,,,27,"1,011",,,39,,"1,297",,"2,039",,"4,386",,,,
Total:,,,,61,"2,619",,,114,,"3,770",,"4,842",,"11,345",,,,
,,,,,,,,,,,,,,,,,,
Legislative District 12,,,,,,,,,,,,,,,,,,
Maricopa,,,,37,"2,634",,,185,,"5,105",,"4,923",,"12,847",,,,
Pinal,,,,1,7,,,1,,38,,25,,71,,,,
Total:,,,,38,"2,641",,,186,,"5,143",,"4,948",,"12,918",,,,
,,,,,,,,,,,,,,,,,,
Legislative District 13,,,,,,,,,,,,,,,,,,
Maricopa,,,,29,"2,147",,,83,,"3,212",,"3,971",,"9,413",,,,
Yuma,,,,21,"2,891",,,120,,"4,168",,"6,235",,"13,414",,,,
Total:,,,,50,"5,038",,,203,,"7,380",,"10,206",,"22,827",,,,
,,,,,,,,,,,,,,,,,,
Legislative District 14,,,,,,,,,,,,,,,,,,
Cochise,,,,49,"2,774",,,98,,"3,702",,"5,687",,"12,261",,,,
Graham,,,,20,457,,,14,,867,,964,,"2,302",,,,
Greenlee,,,,8,107,,,0,,140,,208,,455,,,,
Pima,,,,18,443,,,42,,932,,996,,"2,413",,,,
Total:,,,,95,"3,781",,,154,,"5,641",,"7,855",,"17,431",,,,
,,,,,,,,,,,,,,,,,,
Legislative District 15,,,,,,,,,,,,,,,,,,
Maricopa,,,,42,"3,144",,,163,,"4,874",,"6,285",,"14,466",,,,
