Report Date/Time: 11/03/2014 02:52 PM,,,,,Revised to Reflect Precinct Adjustment to LD 4 & LD 13,,,,,,,,Page Number 1,
,,,,,STATE OF ARIZONA REGISTRATION REPORT,,,,,,,,,
,,,,,,,"2014 General Election - November 4, 2014",,,,,,,
,,,,,,,Compiled and Issued by the Arizona Secretary of State,,,,,,,
,,,,,,ACTIVE,,,,,,,,
,,Precincts,Date/Period,,,,,,,,,Other,TOTAL,
,,,,Americans ,,,,Democratic,Green,Libertarian,Republican,,,
,,44,P.E. 2014,,,,,,,,,"28,054","75,905",
,,,,6,,,,"25,596",*,512,"22,096",,,
,,44,G.E. 2014,,,,,,,,,"28,767","76,977",
,,,,237,,,,"952,931","4,863","22,086","1,120,992",,,
,TOTALS:,"1,667",G.E. 2012,,,,,,,,,"1,023,603","3,124,712",
,,,,399,,,,"944,665",*,"26,915","1,122,723",,,
,,"1,566",P.E. 2014,,,,,,,,,"1,152,444","3,247,146",
,,,,433,,,,"936,417",*,"26,589","1,114,713",,,
,,"1,566",G.E. 2014,,,,,,,,,"1,157,811","3,235,963",
,,,,0.01,,,,30.5,0.16,0.71,35.88,,,
,PERCENTAGES:,,G.E. 2012,,,,,,,,,32.76,,
,,,,0.01,,,,29.09,*,0.83,34.58,,,
,,,P.E. 2014,,,,,,,,,35.49,,
,,,,0.01,,,,28.94,*,0.82,34.45,,,
,,,G.E. 2014,,,,,,,,,35.78,,
,* - Party was not a recognized party during this cycle,,,,,,,,,,,,,
Report Date/Time: 11/03/2014 02:52 PM,,,,,,,Revised to Reflect Precinct Adjustment to LD 4 & LD 13,,,,,,,Page Number 2
,,,,,,,STATE OF ARIZONA REGISTRATION REPORT,,,,,,,
,,,,,,,,,"2014 General Election - November 4, 2014",,,,,
,,,,,,,,,Compiled and Issued by the Arizona Secretary of State,,,,,
,,,,,,,,ACTIVE,,,,,,
,Congressional,,,,Precincts,,,,,,,,Other,TOTAL
,,,,,,Americans Elect,,,,Democratic,Libertarian,Republican,,
,,Congressional District 1,,,,,,,,,,,,
,,,,,,4,,,,"26,351",148,"7,267",,
,,,Apache,,45,,,,,,,,"12,411","46,181"
